name,birth_date,age,nationality,team,position,image_url
Anthony Elanga,2002-06-15,23,Sweden,Newcastle United,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/583189-1700739021.jpg?lm=1
Amad Diallo,2002-06-15,23,Cote d'Ivoire,Manchester United,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/536835-1747857754.jpg?lm=1
Bremer,1997-06-15,28,Brazil,Juventus FC,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/516716-1725531520.jpg?lm=1
Noni Madueke,2002-06-15,23,England,Arsenal FC,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/503987-1683102348.jpg?lm=1
Riccardo Calafiori,2002-06-15,23,Italy,Arsenal FC,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/502821-1727382174.jpg?lm=1
Reece James,1999-06-15,26,England,Chelsea FC,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/472423-1683900849.jpg?lm=1
Morten Hjulmand,1999-06-15,26,Denmark,Sporting CP,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/461496-1725633200.jpg?lm=1
Alphonso Davies,2000-06-15,25,Canada,Bayern Munich,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/424204-1711745534.jpg?lm=1
Ferran Torres,2000-06-15,25,Spain,FC Barcelona,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/398184-1699383547.jpg?lm=1
Alessandro Buongiorno,1999-06-15,26,Italy,SSC Napoli,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/386446-1663596475.jpg?lm=1
Moise Kean,2000-06-15,25,Italy,ACF Fiorentina,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/364135-1725532147.jpg?lm=1
Ibrahima Konaté,1999-06-15,26,France,Liverpool FC,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/357119-1669190550.jpg?lm=1
Scott McTominay,1996-06-15,29,Scotland,SSC Napoli,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/315969-1718626681.jpg?lm=1
Marc Cucurella,1998-06-15,27,Spain,Chelsea FC,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/284857-1765185117.jpg?lm=1
Federico Dimarco,1997-06-15,28,Italy,Inter Milan,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/198116-1725531769.jpg?lm=1
Geovany Quenda,2007-06-15,18,Portugal,Sporting CP,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/1138758-1761232238.jpg?lm=1
Ousmane Diomande,2003-06-15,22,Cote d'Ivoire,Sporting CP,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/974982-1759778940.jpg?lm=1
Can Uzun,2005-06-15,20,Türkiye,Eintracht Frankfurt,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/816585-1724772468.jpg?lm=1
Alejandro Garnacho,2004-06-15,21,Argentina,Chelsea FC,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/811779-1703629085.jpg?lm=1
